Azimuth/deg,Zenith/deg
145.25,45.157
143.99,43.492
142.67,41.749
141.27,39.918
143.93,45.231
142.71,43.523
141.43,41.734
140.08,39.853
142.61,45.303
141.43,43.554
140.19,41.719
138.89,39.789
141.28,45.374
140.15,43.584
138.96,41.706
137.7,39.726
139.96,45.443
138.87,43.614
137.72,41.692
136.51,39.665
138.64,45.511
137.59,43.643
136.49,41.679
135.32,39.605
137.31,45.578
136.31,43.672
135.25,41.667
134.14,39.548
135.99,45.643
135.03,43.701
134.02,41.656
132.95,39.491
134.66,45.707
133.74,43.729
132.78,41.645
131.77,39.437
133.34,45.769
132.46,43.757
131.55,41.635
130.59,39.384
132.01,45.83
131.18,43.784
130.31,41.625
129.4,39.333
130.68,45.889
129.9,43.811
129.08,41.616
128.22,39.284
129.35,45.947
128.61,43.837
127.85,41.608
127.05,39.236
128.02,46.003
127.33,43.863
126.61,41.6
125.87,39.191
126.69,46.057
126.05,43.889
125.38,41.593
124.69,39.147
125.36,46.11
124.76,43.914
124.15,41.587
123.51,39.106
124.03,46.161
123.48,43.938
122.92,41.581
122.34,39.066
122.7,46.211
122.2,43.962
121.68,41.577
121.16,39.028
121.37,46.258
120.91,43.985
120.45,41.572
119.99,38.993
120.04,46.304
119.63,44.008
119.22,41.569
118.82,38.959
118.7,46.349
118.34,44.03
117.99,41.566
117.65,38.928
117.37,46.392
117.06,44.052
116.76,41.564
116.47,38.899
116.04,46.433
115.77,44.073
115.52,41.563
115.3,38.872
114.7,46.472
114.49,44.093
114.29,41.563
114.13,38.847
113.37,46.51
113.2,44.114
113.06,41.563
112.96,38.825
112.04,46.545
111.92,44.133
111.83,41.564
111.79,38.804
110.7,46.579
110.63,44.152
110.6,41.566
110.62,38.786
109.37,46.612
109.35,44.17
109.37,41.568
109.45,38.77
108.03,46.642
108.06,44.188
108.13,41.572
108.28,38.757
106.7,46.671
106.77,44.205
106.9,41.576
107.11,38.745
105.36,46.698
105.49,44.222
105.67,41.581
105.94,38.737
104.03,46.723
104.2,44.238
104.44,41.587
104.77,38.73
102.7,46.746
102.92,44.254
103.21,41.593
103.6,38.726
101.36,46.768
101.63,44.269
101.98,41.6
102.43,38.724
100.03,46.787
100.34,44.283
100.74,41.608
101.26,38.724
98.694,46.805
99.059,44.297
99.511,41.617
100.09,38.727
97.361,46.821
97.773,44.31
98.279,41.627
98.913,38.733
96.028,46.836
96.488,44.322
97.046,41.637
97.741,38.74
94.694,46.848
95.202,44.334
95.813,41.649
96.568,38.75
93.362,46.859
93.917,44.346
94.58,41.661
95.394,38.763
92.029,46.868
92.631,44.357
93.347,41.673
94.219,38.777
90.697,46.875
91.346,44.367
92.113,41.687
93.044,38.795
89.366,46.88
90.061,44.377
90.879,41.701
91.868,38.814
88.034,46.884
88.776,44.386
89.645,41.717
90.691,38.836
86.704,46.885
87.491,44.394
88.41,41.733
89.513,38.86
85.374,46.885
86.206,44.402
87.175,41.749
88.334,38.887
84.044,46.883
84.922,44.41
85.94,41.767
87.153,38.916
82.715,46.88
83.637,44.416
84.705,41.785
85.972,38.947
81.387,46.874
82.353,44.423
83.469,41.804
84.789,38.98
80.059,46.867
81.069,44.428
82.232,41.824
83.605,39.016
78.732,46.858
79.786,44.433
80.996,41.845
82.42,39.054
77.406,46.848
78.502,44.438
79.758,41.866
81.233,39.095
76.08,46.835
77.219,44.442
78.521,41.888
80.045,39.137
74.755,46.821
75.936,44.445
77.283,41.911
78.856,39.182
73.431,46.806
74.653,44.448
76.044,41.934
77.664,39.229
72.108,46.788
73.371,44.451
74.805,41.959
76.472,39.278
70.786,46.769
72.089,44.453
73.566,41.984
75.277,39.33
69.465,46.748
70.807,44.454
72.325,42.009
74.081,39.383
68.145,46.726
69.526,44.455
71.085,42.036
72.883,39.438
66.825,46.702
68.245,44.455
69.844,42.063
71.684,39.496
65.507,46.676
66.964,44.455
68.602,42.091
70.482,39.555
64.19,46.649
65.684,44.454
67.36,42.12
69.279,39.617
62.874,46.62
64.404,44.453
66.117,42.149
68.074,39.68
61.559,46.59
63.124,44.451
64.874,42.179
66.867,39.746
60.245,46.558
61.845,44.449
63.63,42.209
65.658,39.813
58.932,46.525
60.566,44.446
62.385,42.24
64.447,39.882
57.621,46.49
59.288,44.443
61.14,42.272
63.234,39.953
56.31,46.453
58.01,44.439
59.894,42.305
62.019,40.026
55.001,46.415
56.733,44.435
58.648,42.338
60.802,40.1
53.693,46.376
55.455,44.431
57.4,42.371
59.583,40.177
52.387,46.335
54.179,44.426
56.153,42.406
58.362,40.254
51.082,46.293
52.903,44.421
54.904,42.44
57.139,40.334
49.778,46.25
51.627,44.415
53.655,42.476
55.913,40.415
48.476,46.205
50.352,44.409
52.405,42.512
54.686,40.497
47.175,46.159
49.077,44.402
51.155,42.548
